"","entrezgene","gene.symbol","chromosome","description","type.of.gene","rapdb","msu"
"8667","4327734","LOC4327734","1","protein YIPF1 homolog","protein-coding","Os01g0610500","LOC_Os01g42480"
"8668","4327735","LOC4327735","1","carbon catabolite repressor protein 4 homolog 6","protein-coding","Os01g0610600","LOC_Os01g42490"
"8669","4327736","LOC4327736","1","E3 ubiquitin-protein ligase MARCH8","protein-coding","Os01g0610700","LOC_Os01g42500"
"8670","4327737","LOC4327737","1","A disintegrin and metalloproteinase with thrombospondin motifs 7","protein-coding","Os01g0610800","LOC_Os01g42510"
"8671","4325311","LOC4325311","1","uncharacterized LOC4325311","protein-coding","Os01g0611000","LOC_Os01g42520"
"8672","4325312","LOC4325312","1","GTP-binding nuclear protein Ran-1-like","protein-coding","Os01g0611100","None"
"8673","107277626","LOC107277626","1","uncharacterized LOC107277626","protein-coding","Os01g0611200","LOC_Os01g42540"
"8674","107278125","LOC107278125","1","alpha-humulene synthase","protein-coding","Os01g0611800","LOC_Os01g42610"
"8675","4325314","LOC4325314","1","pentatricopeptide repeat-containing protein At3g54980, mitochondrial","protein-coding","Os01g0611900","LOC_Os01g42620"
"8676","9268926","LOC9268926","1","DNA (cytosine-5)-methyltransferase","protein-coding","Os01g0612000","LOC_Os01g42630"
"8677","4325317","LOC4325317","1","putative cytochrome c oxidase subunit 5b-like","protein-coding","Os01g0612200","LOC_Os01g42650"
"8678","4325318","LOC4325318","1","acyl-protein thioesterase 1 homolog 1","protein-coding","Os01g0612500","LOC_Os01g42690"
"8679","4325319","LOC4325319","1","uncharacterized LOC4325319","protein-coding","Os01g0612600","LOC_Os01g42700"
"8680","4325320","LOC4325320","1","fibrous sheath CABYR-binding protein","protein-coding","Os01g0612700","LOC_Os01g42710"
"8681","4325321","LOC4325321","1","uncharacterized LOC4325321","protein-coding","Os01g0612800","LOC_Os01g42720"
"8682","4325322","LOC4325322","1","GDSL esterase/lipase At1g28590","protein-coding","Os01g0612900","LOC_Os01g42730"
"8683","107277460","LOC107277460","1","adenylate-forming reductase 06235","protein-coding","Os01g0613100","LOC_Os01g42760"
"8684","4325323","LOC4325323","1","uncharacterized LOC4325323","protein-coding","Os01g0613300","LOC_Os01g42770"
"8685","4325325","LOC4325325","1","ervatamin-C","protein-coding","Os01g0613500","LOC_Os01g42780"
"8686","107275306","LOC107275306","1","senescence-specific cysteine protease SAG39-like","protein-coding","Os01g0613800","LOC_Os01g42790"
"8687","4325327","LOC4325327","1","uncharacterized protein YNL011C","protein-coding","Os01g0613900","LOC_Os01g42800"
"8688","4325328","LOC4325328","1","protein trichome birefringence-like 1","protein-coding","Os01g0614300","LOC_Os01g42810"
"8689","4326641","LOC4326641","1","UBP1-associated protein 2C","protein-coding","Os01g0614500","LOC_Os01g42820"
"8690","4326643","LOC4326643","1","uncharacterized protein At1g03900","protein-coding","Os01g0614700","LOC_Os01g42830"
"8691","4326644","LOC4326644","1","ubiquitin-like modifier-activating enzyme atg7","protein-coding","Os01g0614900","LOC_Os01g42850"
"8692","4326647","LOC4326647","1","acyl transferase 5-like","protein-coding","Os01g0615200","LOC_Os01g42870"
"8693","4326648","LOC4326648","1","acyl transferase 9-like","protein-coding","Os01g0615300","LOC_Os01g42880"
"8694","4326649","LOC4326649","1","ABC transporter G family member 10","protein-coding","Os01g0615500","LOC_Os01g42900"
"8695","4326650","LOC4326650","1","SCY1-like protein 2","protein-coding","Os01g0616100","LOC_Os01g42950"
"8696","4326651","LOC4326651","1","TPR repeat-containing thioredoxin TTL1","protein-coding","Os01g0616300","LOC_Os01g42960"
"8697","4326652","LOC4326652","1","zinc finger CCCH domain-containing protein 8-like","protein-coding","Os01g0616400","LOC_Os01g42970"
"8698","4326653","LOC4326653","1","uncharacterized LOC4326653","protein-coding","Os01g0616500","LOC_Os01g42980"
"8699","4326654","LOC4326654","1","pentatricopeptide repeat-containing protein At4g36680, mitochondrial","protein-coding","Os01g0616600","LOC_Os01g42990"
"8700","107278473","LOC107278473","1","berberine bridge enzyme-like 18","protein-coding","Os01g0616666","LOC_Os01g42990"
"8701","4326655","LOC4326655","1","uncharacterized LOC4326655","protein-coding","Os01g0616800","LOC_Os01g43010"
"8702","4326656","LOC4326656","1","CTP synthase","protein-coding","Os01g0616900","LOC_Os01g43020"
"8703","4326606","LOC4326606","1","N-terminal acetyltransferase A complex auxiliary subunit NAA15","protein-coding","Os01g0617500","LOC_Os01g43030"
"8704","4326607","LOC4326607","1","protein ROOT PRIMORDIUM DEFECTIVE 1","protein-coding","Os01g0617600","LOC_Os01g43040"
"8705","4326608","LOC4326608","1","uncharacterized LOC4326608","protein-coding","Os01g0617700","LOC_Os01g43050"
"8706","4326609","LOC4326609","1","uncharacterized LOC4326609","protein-coding","Os01g0617800","LOC_Os01g43060"
"8707","4326610","LOC4326610","1","psbP domain-containing protein 5, chloroplastic","protein-coding","Os01g0617900","LOC_Os01g43070"
"8708","4326611","LOC4326611","1","ERI1 exoribonuclease 2","protein-coding","Os01g0618000","LOC_Os01g43080"
"8709","4326612","LOC4326612","1","probable aldo-keto reductase 1","protein-coding","Os01g0618100","LOC_Os01g43090"
"8710","9269413","LOC9269413","1","probable protein phosphatase 2C 7","protein-coding","Os01g0618200","LOC_Os01g43100"
"8711","9271825","LOC9271825","1","uncharacterized LOC9271825","protein-coding","Os01g0618300","LOC_Os01g43110"
"8712","4326614","LOC4326614","1","DEAD-box ATP-dependent RNA helicase 25-like","protein-coding","Os01g0618400","LOC_Os01g43120"
"8713","4326615","LOC4326615","1","DEAD-box ATP-dependent RNA helicase 26-like","protein-coding","Os01g0618500","LOC_Os01g43130"
"8714","9271679","LOC9271679","1","phospholipase A1 PLIP1, chloroplastic","protein-coding","Os01g0618700","LOC_Os01g43140"
"8715","4326617","LOC4326617","1","ATP-dependent zinc metalloprotease FTSH 9, chloroplastic/mitochondrial-like","protein-coding","Os01g0618800","LOC_Os01g43150"
"8716","4326618","LOC4326618","1","probable polygalacturonase","protein-coding","Os01g0618900","LOC_Os01g43160"
"8717","4326619","LOC4326619","1","polypyrimidine tract-binding protein homolog 1","protein-coding","Os01g0619000","LOC_Os01g43170"
"8718","4326620","LOC4326620","1","chitinase domain-containing protein 1","protein-coding","Os01g0619800","LOC_Os01g43220"
"8719","107278244","LOC107278244","1","MYB-like transcription factor ETC3","protein-coding","Os01g0619900","LOC_Os01g43230"
"8720","4326622","LOC4326622","1","protein SEH1","protein-coding","Os01g0620100","LOC_Os01g43250"
"8721","107276505","LOC107276505","1","uncharacterized LOC107276505","protein-coding","Os01g0620200","LOC_Os01g43260"
"8722","4326625","LOC4326625","1","hydroquinone glucosyltransferase","protein-coding","Os01g0620800","LOC_Os01g43280"
"8723","4326627","LOC4326627","1","probable GABA transporter 2","protein-coding","Os01g0621200","LOC_Os01g43320"
"8724","4326628","LOC4326628","1","uncharacterized LOC4326628","protein-coding","Os01g0621300","LOC_Os01g43330"
"8725","107278462","LOC107278462","1","uncharacterized LOC107278462","protein-coding","Os01g0621500","LOC_Os01g43340"
"8726","4326630","LOC4326630","1","mitogen-activated protein kinase kinase kinase 7","protein-coding","Os01g0621600","LOC_Os01g43350"
"8727","4326631","LOC4326631","1","myosin IB heavy chain","protein-coding","Os01g0621700","LOC_Os01g43360"
"8728","9271596","LOC9271596","1","uncharacterized LOC9271596","protein-coding","Os01g0622000","LOC_Os01g43380"
"8729","4326635","LOC4326635","1","uroporphyrinogen decarboxylase 1, chloroplastic-like","protein-coding","Os01g0622300","LOC_Os01g43390"
"8730","4326638","LOC4326638","1","calcium-dependent protein kinase 1-like","protein-coding","Os01g0622600","LOC_Os01g43410"
"8731","4326639","LOC4326639","1","probable protein ABIL1","protein-coding","Os01g0622700","LOC_Os01g43420"
"8732","107276638","LOC107276638","1","protein TOO MANY MOUTHS","protein-coding","Os01g0623000","LOC_Os01g43440"
"8733","4326677","LOC4326677","1","S-type anion channel SLAH2","protein-coding","Os01g0623200","LOC_Os01g43460"
"8734","4326678","LOC4326678","1","peroxisomal biogenesis factor 6","protein-coding","Os01g0623500","LOC_Os01g43480"
"8735","4326679","LOC4326679","1","polygalacturonase","protein-coding","Os01g0623600","LOC_Os01g43490"
"8736","9267700","LOC9267700","1","uncharacterized LOC9267700","protein-coding","Os01g0623900","LOC_Os01g43510"
"8737","4326680","LOC4326680","1","neutral ceramidase-like","protein-coding","Os01g0624000","LOC_Os01g43520"
"8738","4326681","LOC4326681","1","late embryogenesis abundant protein Lea14-A","protein-coding","Os01g0624400","LOC_Os01g43530"
"8739","4326682","LOC4326682","1","protein SGT1 homolog","protein-coding","Os01g0624500","LOC_Os01g43540"
"8740","4326683","LOC4326683","1","WRKY transcription factor 22","protein-coding","Os01g0624700","LOC_Os01g43550"
"8741","4326684","LOC4326684","1","kinesin-like protein KIN-13B","protein-coding","Os01g0625200","LOC_Os01g43580"
"8742","4326685","LOC4326685","1","heat stress transcription factor C-1a-like","protein-coding","Os01g0625300","LOC_Os01g43590"
"8743","4326686","LOC4326686","1","transcription repressor OFP3","protein-coding","Os01g0625900","LOC_Os01g43610"
"8744","4326687","LOC4326687","1","beta-adaptin-like protein A","protein-coding","Os01g0626100","LOC_Os01g43630"
"8745","4326689","LOC4326689","1","mitochondrial import receptor subunit TOM7-1","protein-coding","Os01g0626300","None"
"8746","4326690","LOC4326690","1","WRKY transcription factor 71","protein-coding","Os01g0626400","LOC_Os01g43650"
"8747","4326692","LOC4326692","1","transcription factor bHLH144","protein-coding","Os01g0626900","LOC_Os01g43680"
"8748","4326694","LOC4326694","1","cytochrome P450 72A13","protein-coding","Os01g0627400","LOC_Os01g43700"
"8749","4326657","LOC4326657","1","cytochrome P450 72A15","protein-coding","Os01g0627500","LOC_Os01g43710"
"8750","4326659","LOC4326659","1","cytochrome P450 72A13","protein-coding","Os01g0627800","LOC_Os01g43740"
"8751","4326660","LOC4326660","1","cytochrome P450 72A15","protein-coding","Os01g0627900","LOC_Os01g43750"
"8752","9272564","LOC9272564","1","cytochrome P450 CYP72A219","protein-coding","Os01g0627933","LOC_Os01g43760"
"8753","4326661","LOC4326661","1","cytochrome P450 72A15","protein-coding","Os01g0628000","LOC_Os01g43774"
"8754","4326663","LOC4326663","1","cytochrome P450 72A11","protein-coding","Os01g0628700","LOC_Os01g43844"
"8755","4326664","LOC4326664","1","cytochrome P450 72A14","protein-coding","Os01g0628900","LOC_Os01g43851"
"8756","4326666","LOC4326666","1","CTD small phosphatase-like protein 2","protein-coding","Os01g0629400","LOC_Os01g43870"
"8757","4326667","LOC4326667","1","serine carboxypeptidase-like 50","protein-coding","Os01g0629600","LOC_Os01g43890"
"8758","107275370","LOC107275370","1","oligopeptide transporter 4","protein-coding","Os01g0630200","LOC_Os01g43940"
"8759","9266252","LOC9266252","1","transcription factor PAR2","protein-coding","Os01g0630300","LOC_Os01g43950"
"8760","4326670","LOC4326670","1","protein REDUCED WALL ACETYLATION 3","protein-coding","Os01g0631100","LOC_Os01g44040"
"8761","4326671","LOC4326671","1","uroporphyrinogen-III C-methyltransferase","protein-coding","Os01g0631200","LOC_Os01g44050"
"8762","4326672","LOC4326672","1","glycerol-3-phosphate acyltransferase 1","protein-coding","Os01g0631400","LOC_Os01g44069"
"8763","4326673","LOC4326673","1","PLASMODESMATA CALLOSE-BINDING PROTEIN 3","protein-coding","Os01g0631500","LOC_Os01g44090"
"8764","4326674","LOC4326674","1","probable receptor-like protein kinase At2g42960","protein-coding","Os01g0631700","LOC_Os01g44110"
"8765","4326675","LOC4326675","1","uncharacterized LOC4326675","protein-coding","Os01g0631800","LOC_Os01g44120"
"8766","4326588","LOC4326588","1","aspartic proteinase oryzasin-1-like","protein-coding","Os01g0631900","LOC_Os01g44130"
"8767","9271453","LOC9271453","1","uncharacterized LOC9271453","protein-coding","Os01g0632000","LOC_Os01g44140"
"8768","4326592","LOC4326592","1","uncharacterized LOC4326592","protein-coding","Os01g0632700","None"
"8769","4326593","LOC4326593","1","50S ribosomal protein L31","protein-coding","Os01g0633000","LOC_Os01g44210"
"8770","4326594","LOC4326594","1","glucose-1-phosphate adenylyltransferase large subunit 2, cytosolic-like","protein-coding","Os01g0633100","LOC_Os01g44220"
"8771","4326595","LOC4326595","1","protein INVOLVED IN DE NOVO 2","protein-coding","Os01g0633200","LOC_Os01g44230"
"8772","4326596","LOC4326596","1","SNF1-related protein kinase regulatory subunit gamma-1","protein-coding","Os01g0633400","LOC_Os01g44250"
"8773","4326602","LOC4326602","1","uncharacterized LOC4326602","protein-coding","Os01g0634300","LOC_Os01g44310"
"8774","107276614","LOC107276614","1","laccase-2","protein-coding","Os01g0634500","LOC_Os01g44330"
"8775","4326603","LOC4326603","1","putative pectinesterase 11","protein-coding","Os01g0634600","LOC_Os01g44340"
"8776","4326604","LOC4326604","1","CBS domain-containing protein CBSX3, mitochondrial","protein-coding","Os01g0634900","LOC_Os01g44360"
"8777","107275704","LOC107275704","1","protein RADIALIS-like 3","protein-coding","Os01g0635000","LOC_Os01g44370"
"8778","4326605","LOC4326605","1","protein RADIALIS-like 2","protein-coding","Os01g0635200","LOC_Os01g44390"
"8779","4326570","LOC4326570","1","protein RAE1","protein-coding","Os01g0635400","LOC_Os01g44394"
"8780","9268901","LOC9268901","1","zinc-finger homeodomain protein 5","protein-coding","Os01g0635550","LOC_Os01g44430"
"8781","107281014","LOC107281014","1","fibroin heavy chain","protein-coding","Os01g0635600","LOC_Os01g44430"
"8782","107275760","LOC107275760","1","long-chain-fatty-acid--AMP ligase FadD26","protein-coding","Os01g0636300","LOC_Os01g44950"
"8783","4326572","LOC4326572","1","epoxide hydrolase 3","protein-coding","Os01g0636400","LOC_Os01g44960"
"8784","4326573","LOC4326573","1","polygalacturonase At1g48100","protein-coding","Os01g0636500","LOC_Os01g44970"
"8785","9269695","LOC9269695","1","peptide deformylase 1B, chloroplastic-like","protein-coding","Os01g0636600","LOC_Os01g44980"
"8786","4326574","LOC4326574","1","protein CHROMATIN REMODELING 24","protein-coding","Os01g0636700","LOC_Os01g44990"
"8787","107276443","LOC107276443","1","polygalacturonase At1g48100","protein-coding","Os01g0637500","LOC_Os01g45060"
"8788","4326576","LOC4326576","1","peptide deformylase 1B, chloroplastic-like","protein-coding","Os01g0637600","LOC_Os01g45070"
"8789","4326577","LOC4326577","1","myb-related protein 305","protein-coding","Os01g0637800","LOC_Os01g45090"
"8790","4326578","LOC4326578","1","anthocyanin 3'-O-beta-glucosyltransferase","protein-coding","Os01g0638000","LOC_Os01g45110"
"8791","4326579","LOC4326579","1","scopoletin glucosyltransferase","protein-coding","Os01g0638600","LOC_Os01g45140"
"8792","107277790","LOC107277790","1","uncharacterized LOC107277790","protein-coding","Os01g0638800","LOC_Os01g45160"
"8793","4326580","LOC4326580","1","eukaryotic initiation factor 4A-III homolog A-like","protein-coding","Os01g0639100","LOC_Os01g45190"
"8794","4326581","LOC4326581","1","cinnamoyl-CoA reductase-like SNL6","protein-coding","Os01g0639200","LOC_Os01g45200"
"8795","4326582","LOC4326582","1","uncharacterized LOC4326582","protein-coding","Os01g0639600","LOC_Os01g45250"
"8796","4326583","LOC4326583","1","carbonic anhydrase, chloroplastic","protein-coding","Os01g0639900","LOC_Os01g45274"
"8797","9266472","LOC9266472","1","transposon Tf2-1 polyprotein","protein-coding","Os01g0640000","LOC_Os01g45290"
"8798","4326585","LOC4326585","1","uncharacterized LOC4326585","protein-coding","Os01g0640200","LOC_Os01g45320"
"8799","4326586","LOC4326586","1","probable glycosyltransferase At5g03795","protein-coding","Os01g0640600","LOC_Os01g45350"
"8800","4326587","LOC4326587","1","CASP-like protein 4U1","protein-coding","Os01g0640700","LOC_Os01g45360"
"8801","4326553","LOC4326553","1","dual-specificity RNA methyltransferase RlmN","protein-coding","Os01g0640800","LOC_Os01g45370"
"8802","4326554","LOC4326554","1","serine/threonine-protein kinase STY13","protein-coding","Os01g0641000","LOC_Os01g45380"
"8803","4326555","LOC4326555","1","HD domain-containing protein 2 homolog","protein-coding","Os01g0641100","LOC_Os01g45390"
"8804","4326558","LOC4326558","1","uncharacterized LOC4326558","protein-coding","Os01g0641700","LOC_Os01g45439"
"8805","4326559","LOC4326559","1","AAA-ATPase At3g50940","protein-coding","Os01g0641800","LOC_Os01g45450"
"8806","4326560","LOC4326560","1","probable isoprenylcysteine alpha-carbonyl methylesterase ICMEL2","protein-coding","Os01g0642000","LOC_Os01g45460"
"8807","4326563","LOC4326563","1","protein MIZU-KUSSEI 1","protein-coding","Os01g0642600","LOC_Os01g45510"
"8808","4326564","LOC4326564","1","single-stranded DNA-binding protein, mitochondrial","protein-coding","Os01g0642900","LOC_Os01g45530"
"8809","4326565","LOC4326565","1","auxin efflux carrier component 3a-like","protein-coding","Os01g0643300","LOC_Os01g45550"
"8810","4326566","LOC4326566","1","homeobox-leucine zipper protein HOX3","protein-coding","Os01g0643600","LOC_Os01g45570"
"8811","4326567","LOC4326567","1","mitogen-activated protein kinase 16-like","protein-coding","Os01g0643800","LOC_Os01g45620"
"8812","4326568","LOC4326568","1","oleosin 14.9 kDa","protein-coding","Os01g0643900","LOC_Os01g45624"
"8813","4326569","LOC4326569","1","uncharacterized LOC4326569","protein-coding","Os01g0644000","LOC_Os01g45640"
"8814","4325912","LOC4325912","1","uncharacterized LOC4325912","protein-coding","Os01g0644200","None"
"8815","4325914","LOC4325914","1","extensin-2","protein-coding","Os01g0644600","LOC_Os01g45700"
"8816","4325915","LOC4325915","1","uncharacterized LOC4325915","protein-coding","Os01g0644900","LOC_Os01g45720"
"8817","4325916","LOC4325916","1","zinc finger CCCH domain-containing protein 9-like","protein-coding","Os01g0645000","LOC_Os01g45730"
"8818","4325917","LOC4325917","1","probable sodium/metabolite cotransporter BASS2, chloroplastic","protein-coding","Os01g0645200","LOC_Os01g45750"
"8819","9269185","LOC9269185","1","probable indole-3-pyruvate monooxygenase YUCCA4","protein-coding","Os01g0645400","LOC_Os01g45760"
"8820","4325919","LOC4325919","1","molybdate transporter 2","protein-coding","Os01g0645900","LOC_Os01g45830"
"8821","4325920","LOC4325920","1","pentatricopeptide repeat-containing protein At3g22690","protein-coding","Os01g0646000","LOC_Os01g45840"
"8822","4325922","LOC4325922","1","DELLA protein SLN1","protein-coding","Os01g0646300","LOC_Os01g45860"
"8823","9269692","LOC9269692","1","uncharacterized LOC9269692","protein-coding","Os01g0646800","LOC_Os01g45880"
"8824","4325927","LOC4325927","1","uncharacterized LOC4325927","protein-coding","Os01g0647000","LOC_Os01g45900"
"8825","4325928","LOC4325928","1","ADP,ATP carrier protein 2, chloroplastic","protein-coding","Os01g0647100","LOC_Os01g45910"
"8826","4326243","LOC4326243","1","uncharacterized LOC4326243","protein-coding","Os01g0647700","LOC_Os01g45960"
"8827","4326245","LOC4326245","1","potassium channel AKT1-like","protein-coding","Os01g0648000","LOC_Os01g45990"
"8828","107276791","LOC107276791","1","probable receptor-like protein kinase At5g20050","protein-coding","Os01g0648600","LOC_Os01g46030"
"8829","4326247","LOC4326247","1","transcription factor GTE4","protein-coding","Os01g0648700","LOC_Os01g46040"
"8830","4326248","LOC4326248","1","WD repeat-containing protein 43","protein-coding","Os01g0649000","LOC_Os01g46060"
"8831","4326249","LOC4326249","1","malate dehydrogenase, mitochondrial","protein-coding","Os01g0649100","LOC_Os01g46070"
"8832","4326250","LOC4326250","1","GDSL esterase/lipase At1g28600","protein-coding","Os01g0649200","LOC_Os01g46080"
"8833","4326253","LOC4326253","1","GDSL esterase/lipase At1g28600","protein-coding","Os01g0649900","LOC_Os01g46120"
"8834","4326254","LOC4326254","1","GDSL esterase/lipase At1g28600","protein-coding","Os01g0650000","LOC_Os01g46130"
"8835","4326258","LOC4326258","1","uncharacterized LOC4326258","protein-coding","Os01g0650700","LOC_Os01g46200"
"8836","4326260","LOC4326260","1","GDSL esterase/lipase At1g28600","protein-coding","Os01g0650900","LOC_Os01g46210"
"8837","4325365","LOC4325365","1","GDSL esterase/lipase At1g28600","protein-coding","Os01g0651000","LOC_Os01g46220"
"8838","4325366","LOC4325366","1","putative pentatricopeptide repeat-containing protein At5g52630","protein-coding","Os01g0651100","LOC_Os01g46230"
"8839","9272417","LOC9272417","1","GDSL esterase/lipase At1g28600","protein-coding","Os01g0651300","LOC_Os01g46260"
"8840","4325370","LOC4325370","1","acyl-CoA--sterol O-acyltransferase 1","protein-coding","Os01g0651500","LOC_Os01g46270"
"8841","4325371","LOC4325371","1","phospholipase A1-II 3-like","protein-coding","Os01g0651800","LOC_Os01g46290"
"8842","4325372","LOC4325372","1","protein CHUP1, chloroplastic","protein-coding","Os01g0651932","LOC_Os01g46340"
"8843","4325373","LOC4325373","1","protein trichome birefringence-like 38","protein-coding","Os01g0652100","LOC_Os01g46350"
"8844","9270605","LOC9270605","1","phospholipase A1-II 4-like","protein-coding","Os01g0652300","LOC_Os01g46370"
"8845","4325375","LOC4325375","1","ketol-acid reductoisomerase, chloroplastic-like","protein-coding","Os01g0652600","LOC_Os01g46380"
"8846","4325376","LOC4325376","1","uncharacterized LOC4325376","protein-coding","Os01g0652700","LOC_Os01g46390"
"8847","4325378","LOC4325378","1","protein trichome birefringence-like 21","protein-coding","Os01g0653100","LOC_Os01g46410"
"8848","4325379","LOC4325379","1","D-inositol 3-phosphate glycosyltransferase","protein-coding","Os01g0653200","LOC_Os01g46430"
"8849","112939891","LOC112939891","1","uncharacterized LOC112939891","protein-coding","Os01g0653300","LOC_Os01g46440"
"8850","112938274","LOC112938274","1","ESF1 homolog","protein-coding","Os01g0653500","LOC_Os01g46470"
"8851","4325380","LOC4325380","1","F-box/FBD/LRR-repeat protein At1g16930","protein-coding","Os01g0653700","LOC_Os01g46500"
"8852","4324171","LOC4324171","1","uncharacterized LOC4324171","protein-coding","Os01g0653800","LOC_Os01g46510"
"8853","4324172","LOC4324172","1","CTP synthase","protein-coding","Os01g0654100","LOC_Os01g46570"
"8854","4324173","LOC4324173","1","membrane-bound transcription factor site-2 protease homolog","protein-coding","Os01g0654200","LOC_Os01g46590"
"8855","4324174","LOC4324174","1","actin-related protein 2/3 complex subunit 2A","protein-coding","Os01g0654300","LOC_Os01g46580"
"8856","4324175","LOC4324175","1","uncharacterized LOC4324175","protein-coding","Os01g0654400","LOC_Os01g46600"
"8857","4324176","LOC4324176","1","cytosolic isocitrate dehydrogenase [NADP]","protein-coding","Os01g0654500","LOC_Os01g46610"
"8858","112937876","LOC112937876","1","uncharacterized LOC112937876","protein-coding","Os01g0655000","LOC_Os01g46670"
"8859","107276384","LOC107276384","1","uncharacterized LOC107276384","protein-coding","Os01g0655200","LOC_Os01g46690"
"8860","4324177","LOC4324177","1","histone-lysine N-methyltransferase ATX4","protein-coding","Os01g0655250","LOC_Os01g46700"
"8861","4324178","LOC4324178","1","uncharacterized LOC4324178","protein-coding","Os01g0655400","LOC_Os01g46710"
"8862","4324179","LOC4324179","1","probable plastid-lipid-associated protein 14, chloroplastic","protein-coding","Os01g0655500","LOC_Os01g46720"
"8863","112937666","LOC112937666","1","uncharacterized LOC112937666","protein-coding","Os01g0655600","LOC_Os01g46730"
"8864","4324180","LOC4324180","1","long chain acyl-CoA synthetase 4","protein-coding","Os01g0655800","LOC_Os01g46750"
"8865","4324182","LOC4324182","1","probable protein phosphatase 2C 8","protein-coding","Os01g0656200","LOC_Os01g46760"
"8866","4324183","LOC4324183","1","probable WRKY transcription factor 53","protein-coding","Os01g0656400","LOC_Os01g46800"
"8867","4324184","LOC4324184","1","myosin-13","protein-coding","Os01g0656600","LOC_Os01g46810"
"8868","4324185","LOC4324185","1","uncharacterized LOC4324185","protein-coding","Os01g0656900","LOC_Os01g46840"
"8869","112939901","LOC112939901","1","arabinogalactan protein 16-like","protein-coding","Os01g0657000","LOC_Os01g46850"
"8870","4324187","LOC4324187","1","inorganic phosphate transporter 1-11-like","protein-coding","Os01g0657100","LOC_Os01g46860"
"8871","4324188","LOC4324188","1","pathogenesis-related genes transcriptional activator PTI6","protein-coding","Os01g0657400","LOC_Os01g46870"
"8872","4327161","LOC4327161","1","uncharacterized LOC4327161","protein-coding","Os01g0658300","LOC_Os01g46910"
"8873","4327162","LOC4327162","1","ubiquitin-conjugating enzyme E2 5A-like","protein-coding","Os01g0658400","LOC_Os01g46926"
"8874","4327163","LOC4327163","1","vacuolar protein sorting-associated protein 25","protein-coding","Os01g0658500","LOC_Os01g46932"
"8875","107276244","LOC107276244","1","sphinganine C4-monooxygenase 2","protein-coding","Os01g0658600","LOC_Os01g46940"
"8876","4327164","LOC4327164","1","putative glucose-6-phosphate 1-epimerase","protein-coding","Os01g0658700","LOC_Os01g46950"
"8877","4327165","LOC4327165","1","common plant regulatory factor 1","protein-coding","Os01g0658900","LOC_Os01g46970"
"8878","4327166","LOC4327166","1","V-type proton ATPase subunit E","protein-coding","Os01g0659200","LOC_Os01g46980"
"8879","4327168","LOC4327168","1","uncharacterized LOC4327168","protein-coding","Os01g0659800","LOC_Os01g47040"
"8880","4327169","LOC4327169","1","F-box/kelch-repeat protein At3g61590","protein-coding","Os01g0659900","LOC_Os01g47050"
"8881","4327172","LOC4327172","1","acidic endochitinase","protein-coding","Os01g0660200","LOC_Os01g47070"
"8882","4327173","LOC4327173","1","plastidial pyruvate kinase 2","protein-coding","Os01g0660300","LOC_Os01g47080"
"8883","107277940","LOC107277940","1","exonuclease mut-7 homolog","protein-coding","Os01g0660500","LOC_Os01g47100"
"8884","4327175","LOC4327175","1","uncharacterized LOC4327175","protein-coding","Os01g0660700","LOC_Os01g47130"
"8885","4327176","LOC4327176","1","Werner Syndrome-like exonuclease","protein-coding","Os01g0660800","LOC_Os01g47180"
"8886","4327177","LOC4327177","1","uncharacterized LOC4327177","protein-coding","Os01g0660900","LOC_Os01g47190"
"8887","4327850","LOC4327850","1","CASP-like protein 4A3","protein-coding","Os01g0661000","LOC_Os01g47200"
"8888","4327851","LOC4327851","1","putative exosome complex component rrp40","protein-coding","Os01g0661400","LOC_Os01g47256"
"8889","4327852","LOC4327852","1","AMSH-like ubiquitin thioesterase 2","protein-coding","Os01g0661500","LOC_Os01g47262"
"8890","9268955","LOC9268955","1","uncharacterized LOC9268955","protein-coding","Os01g0661650","LOC_Os01g47280"
"8891","9271252","LOC9271252","1","50S ribosomal protein L12, chloroplastic-like","protein-coding","Os01g0662300","LOC_Os01g47330"
"8892","4327858","LOC4327858","1","iron-sulfur cluster assembly scaffold protein IscU","protein-coding","Os01g0662600","LOC_Os01g47340"
"8893","4327859","LOC4327859","1","1,4-dihydroxy-2-naphthoyl-CoA synthase, peroxisomal","protein-coding","Os01g0662700","LOC_Os01g47350"
"8894","9272543","LOC9272543","1","GATA transcription factor 20","protein-coding","Os01g0662800","LOC_Os01g47360"
"8895","4327860","LOC4327860","1","mannan endo-1,4-beta-mannosidase 1-like","protein-coding","Os01g0663300","LOC_Os01g47400"
"8896","4327861","LOC4327861","1","aspartic proteinase oryzasin-1-like","protein-coding","Os01g0663400","LOC_Os01g47410"
"8897","4327862","LOC4327862","1","pterin-4-alpha-carbinolamine dehydratase 2, mitochondrial","protein-coding","Os01g0663500","LOC_Os01g47420"
"8898","4327865","LOC4327865","1","putative uncharacterized protein DDB_G0277255","protein-coding","Os01g0663800","LOC_Os01g47430"
"8899","4327866","LOC4327866","1","carboxyl-terminal-processing peptidase 1, chloroplastic","protein-coding","Os01g0664000","LOC_Os01g47450"
"8900","4327867","LOC4327867","1","uncharacterized LOC4327867","protein-coding","Os01g0664100","LOC_Os01g47460"
"8901","4326850","LOC4326850","1","probable receptor-like protein kinase At2g42960","protein-coding","Os01g0664200","LOC_Os01g47470"
"8902","4326851","LOC4326851","1","uncharacterized LOC4326851","protein-coding","Os01g0664500","LOC_Os01g47490"
